Issue key,Pool,Service,Category,Issue Type,Description
IT-60020,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"I have tried connect to BH-raquel, but Nomachine issued: â€œCould not connect to the server.Error is 138: Connection timed outâ€"
IT-60019,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
vmip-172-18-23-223, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-60017,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhw755, Service: LSF Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-60011,wiki-pool,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: Memory  breached the threshold with 
physical memory used %: 98% 
Des: Memory of rdwikiprod.cadence.com has reached upto 
physical memory used %: 98%  The current threshold is physical memory used % > 95Source:   SiteScope\rdwiki-Prod\rdwikiprod.cadence.com\rdwikiprod.cadence.com-Memory
Ci: rdwiki.cadence.com

Alert:  Memory  breached the threshold with 
physical memory used %: 98% 
Des: Memory of rdwiki.cadence.com has reached upto 
physical memory used %: 98%  The current threshold is physical memory used % > 95Source:   SiteScope\CORPORATE WIKI\UNIX\rdwiki.cadence.com\rdwiki.cadence.com-Memory

Ci: rdwikiprod.cadence.com"
IT-60009,L2-Servicedesk,Hosting-VM,VM Down,Incident,"My VM bh-augusto is not reachable in Brazil - Belo Horizonte infrastructure:

{noformat}
mac-augusto:~ augusto$ ssh bh-augusto
ssh: connect to host bh-augusto port 22: Network is unreachable
{noformat}"
IT-60005,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi IT-support, 

Â  

I could successfully create a DPC VM (sjdpc-bojan) on the San Jose network, can see it as active on Platform 9, and can ping it. 

Â  

However, after installing and configuring NX, I canâ€™t connect to the created DPC VM. After entering my Cadence credentials, thereâ€™s the following message: 

Â  

Authentication failed, please try again 

Â  

I followed instructions for NX described on: 

Â  

[https://wiki.cadence.com/confluence/display/octagon/Connecting+to+NX|https://wiki.cadence.com/confluence/display/octagon/Connecting+to+NX] 

Â  

Could you please help to solve this issue? 

Â  

Thank you, 

Bojan 

Â  
|{color:#333333} Â {color}!image001.gif!{color:#333333}{color} | 
|
 !image002.jpg|thumbnail! |{color:#333333} Â {color} | 
|  *{color:#333333} *Bojan AndjelkoviÄ‡*{color}*{color:#333333}Â Â Â {color}{color:#E31937}:{color}{color:#333333}Â Â Â Principal Application Engineer, Digital Implementation and Signoff{color} | 
|{color:#333333} P: +49 89 4563 1855Â Â Â M: +49 151 520 97247Â Â Â {color}[{color:#333333}{color}{color:#333333}www.cadence.com{color}{color:#333333}{color}|http://www.cadence.com/]{color:#333333}{color} | 
|{color:#333333} Â {color} | 
|{color:#333333}{color} !image001.gif!{color:#333333}{color} | 
|{color:#595959} Â  Cadence Design Systems GmbHÂ Â Â Â Â Â Â Â Â Â Â Â Â  Mozartstr.{color}{color:#595959} 2Â Â Â Â Â  D-85622 FeldkirchenÂ Â  
Â Â Registergericht/Commercial Register:Â Â Â Â Â Â Â  MÃ¼nchen HRB 72172Â Â  
Â Â GeschÃ¤ftsfÃ¼hrer/Managing Directors:Â Â Â Â Â Â Â Â  Amanda Jane Elliffe, John M. WallÂ Â {color} | 
 

Â  

Â "
IT-60002,L2-Servicedesk,Hosting-VM,VM Down,Incident,"Hello,

Could you restore sj-romashov VM in SJ. Seems it is dead.

Regards,
Grigory"
IT-59994,L2-Servicedesk,ServerFarm,IT Monitoring â€“ Filesystem,Incident,/it/sjclapa04p3_scratch03 on sjfm02 is 93 percent
IT-59992,L2-Servicedesk,Hosting-VM,VM Down,Incident,"My local VM (bh-joao) is down.

$ ssh bh-joao
ssh: connect to host bh-joao port 22: Network is unreachable"
IT-59990,DW-pool,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: CPU breached the threshold with 
utilization: 97% 

Des: CPU breached the threshold with 
utilization: 97% The current threshold is utilization > 95Source:   SiteScope\EPIPHANY\Server\ephaprd.global.cadence.com\ephaprd.global.cadence.com-CPU

Ci: ephaprd.global.cadence.com"
IT-59986,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi,

I have changed my user id recently from kiran2 to kiran, due to which i am unable to create vnc session in noida and SJ VM. 
"
IT-59984,SFDC_CS,SFDC,Salesforce-CRM Support Application Custom,Incident,"Subject : Assign to SFDC_CS Queue  
Issue Type : Ticket
Dear Team,
Please add the below contacts to â€œTensilica Richtek casesâ€ 
CY Hsieh : cy_hsieh@richtek.com
Simon Yeh : simon_yeh@richtek.com
Johnny Kuo : johnny_kuo@richtek.com
Batter Lee : batter_lee@richtek.com
David Chi : david_chi@richtek.com
Tsung Han Tsai : tsunghan_tsai@richtek.com
Patrick Chang : patrick_chang@richtek.com
Ming Jun Hsiao : mingjun_hsiao@richtek.com
Jacky Wei : jacky_wei@richtek.com
Wanru Wang : wanru_wang@richtek.com
Claire Kuo : claire_kuo@richtek.com



Thanks,
Suzanne "
IT-59983,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm119, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-59982,SFDC_CS,SFDC,Salesforce-CRM Support Application Custom,Incident,"Subject : Assign to SFDC_CS Queue  
Issue Type : Ticket
Dear Team,
Please create case group â€œTensilica Richtek casesâ€ 


Thanks,
Suzanne "
IT-59978,SFDC_CS,SFDC,Salesforce-CRM Support Application Custom,Incident,"Subject : Assign to SFDC_CS Queue  
Issue Type : Ticket
Dear All,
Please add the below contacts to â€œTensilica Vertexcom Casesâ€
JS Liang : js.jiang@vertexcom.com
JS Liang : minet.chen@vertexcom.com
Location : Taiwan


Thanks,
Suzanne "
IT-59977,SFDC_CS,SFDC,Salesforce-CRM Support Application Custom,Incident,"Subject : Assign to SFDC_CS Queue  
Issue Type : Ticket
Dear All,
Please create â€œTensilica Vertexcom Casesâ€ case group


Thanks,
Suzanne"
IT-59976,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhua018, Service: AutoMounter Processes, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: AutoMounter Processes"
IT-59972,ccms-pool,CCMS,CCMS Roles,Service Request,"In CCMS: 
For 
Family: CVA
Product: VIRTUALBRIDGE

Can you please change ownership to: 
Grewal, Kanwarpreet   kanwar

In addition, please provide change rights for this Product type to : 

agarwalp@cadence.com

Regards,
Prashant "
IT-59969,Israel-pool,Password,Password Reset Failure,Service Request,Password reset for new user bhaddad
IT-59968,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hello IT Team,
I need help in creating no machine account to access DPC VM for SFDC case #46410694.
sjdpc-svinita"
IT-59964,pool-web-cadence.com,cadence.com,Cadence.com,Incident,"|Registration Help Request | 
|Incident - www.cadence.com - Assign the ticket to DL : pool-web-cadence.com | 
|First Name: |Roberto | 
|Last Name: |Marabelli | 
|Email: |roberto.marabelli@magnetimarelli.com | 
|Account Type: |Existing Account | 
|Help Category: |Change Login | 
|Help Request: |Due to change of Factory name , the e-mail address must be updated to: roberto.marabelli@marelli.com | 
|Browser Type: |Internet Explorer 11 | 
|Email For Account: |roberto.marabelli@magnetimarelli.com | 
|Screen Name: |-N/A- | 
 Terms of service accepted: Yes 

 Terms of service accepted timestamp: 01/13/2020 05:06:43"
IT-59962,India-pool,Hosting-VM,Hypervisor Decomission,Service Request,"Plz delete POC VMs

Â 

test-sles12

test-ubuntu14"
IT-59958,edasupport,Monitoring,IT Monitoring- Database Alert,Incident,"Alert: Database Counter breached the threshold with EOTOutBoundIntf/COUNT(*): 1

Des: Database Counter breached the threshold with EOTOutBoundIntf/COUNT(*): 1 The current threshold is EOTOutBoundIntf/COUNT(*) > 0Source:   SiteScope\EOT Interface Monitroing\EOTOutBoundIntf

Ci: EOTOutBoundIntf
"
IT-59957,India-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-52635 is complete. Please look up and identify the old system for recovery.
IT-59956,India-pool,Hosting-VM,VM Provisioning,Service Request,"Plz delete POC VMs

Â 

vlno-spbpocrhel1

vlno-spbpocrhel2

Â "
IT-59954,VCAD-Pool,VCAD,VCAD-Chamber Guidance,Service Request,"Please create a Disk Space of 2 TB under /proj in SJ VCAD chamber with the name of the disk as ""/proj/morgan5"". This is needed for the TSMC N28 morgan5 Test Chip Program. 

Also please provide access to below users under unix id ""morgan"" and ""morgan3""

vramesh
chintani
josnag"
IT-59953,Israel-pool,UNIX,UNIX create/modify Directory or Link,Service Request,Unix home dir create at PTK farm
IT-59946,Israel-pool,Personal Computing Hardware,Existing PC,Service Request,Dell 5530 install for new employee Benjamin Haddad
IT-59945,asiapac-pool,Personal Computing Software,Install/Configure Software,Service Request,OS hung while coping folder within HD
IT-59944,asiapac-pool,Personal Computing Software,Install/Configure Software,Service Request,mac address of twncdns1
IT-59942,ITSDL2-core-pool,DPC,DPC Batch job / scheduler issues,Incident,"Hi,

I am trying to submit the job in SJ-DPC but it's not submitting and giving the follwing error:

_Modus_19]$ bsub -q interactive /usr/bin/xterm -bg white -fg black -fn 10x20 ""-n 8 rusage[mem=64000]""
interactive: Queue has been closed. Job not submitted.

Please help me in this.

Thanks and Regards,
Bilahari"
IT-59939,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjfhw739, Service: LSF Status, State: UNKNOWN, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: LSF Status"
IT-59937,L2-Servicedesk,UNIX,UNIX Managed directory Permissions,Service Request,"directory in following disks: 1. /lan/dsoft/proj_vol01/ 2. /s/scratch/ 3. /lan/dsoft/pcie/ 4. /s/scratch02/pcie/ For â€œcadence1â€ Unix group access For ""denali"" Unix group access For ""pci_e"" Unix group access"
IT-59933,L2-Servicedesk,UNIX,UNIX Managed directory Permissions,Service Request, need to create Unix Home Directory
IT-59930,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,"Hi,

Can you create me a home directory in SJ so that I can use ubuild?

Cheers,
Scott."
IT-59921,cte-pool,Travel Expense/Concur,Travel Expense/Concur Request,Service Request,"Hello,

Is it possible to have Concur access please? Is it possible to assign the ticket (or request the ticket is assigned) to the cte-pool please?
I have attached my manager's (Eugene Duff's) approval for the access.

Thanks,
Darragh "
IT-59920,asiapac-pool,Personal Computing Hardware,Battery failure/Issue,Incident,"We have a new battery received for Sandy, please install the battery for her laptop. 

Â  

Â  

Thanks, 

Xinghui 

Â "
IT-59917,sam-pool,Personal Computing Software,Install/Purchase new software license,Service Request with Approvals,"need the license to publish reports in Power BI pro

For below engineers

Â 
 # rakeshko
 # raghukÂ "
IT-59916,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi, 

I cannot connect to sj-wangxiao machine by using noMachine. Even cannot telnet sj-wangxiao machine. 

Can you please help ? 

Â  

Regards, 

Xiao 

Â "
IT-59915,L2-Servicedesk,Hosting-VM,VM Down,Incident,"Hello, 

Â  

It seems there is some issue with sj-atulg 

Â  

[atulg@noi-atulg ~]$ ping sj-atulg 

PING sj-atulg.cadence.com (172.20.197.99) 56(84) bytes of data. 

Â  

--- sj-atulg.cadence.com ping statistics --- 

8 packets transmitted, 0 received, 100% packet loss, time 7000ms 

Â  

Â  

Please help to look into it on urgent basis. 

Â  

Regards, 

atul"
IT-59908,asiapac-pool,UNIX,VNC/NX issues,Incident,"NoMachine issue: 
Now, I cannot connect to sj-xiaofeng:

Error is 138: Connection timed out'.
12724 4968 17:07:40 493.267 ClientSession: Stopping session at 0x03dabae0.
12724 4968 17:07:40 510.188 Connection: Stopping connection at 0x05497728.
Info: Slave server running with pid 18996.
12724 4968 17:07:40 511.186 ClientDaemonConnector: Stopping the current connection.
Info: Listening to slave connections on port 61050.
12724 4968 17:07:40 511.186 Connection: Stopped connection at 0x05497728.
12724 4968 17:07:40 538.112 ClientSession: Stopped session at 0x03dabae0.

Please help resolve the issue.

Thanks & Regards,
Xiaofeng"
IT-59907,asiapac-pool,Active Id Token,Token Sync Issues,Incident,"{color:#201f1e}{color}{color:#1f497d}Dear team,{color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Â {color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Please assign this ticket to Terry Zhang.{color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Â {color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Â {color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}@Terry Zhang,{color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Â {color}{color:#201f1e}{color} 

{color:#201f1e} Â {color} 

{color:#174e86}Please help to set up my activeID Token on my new cell phone, many thanks!{color} 

{color:#201f1e} Â {color} 

{color:#201f1e} Â {color} 

{color:#201f1e} {color}{color:#1f497d}Many thanks !{color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Â {color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Best Regards{color}{color:#201f1e}{color}{color:#1f497d}ï¼Œ{color}{color:#201f1e}{color} 

{color:#201f1e} {color}{color:#1f497d}Jinku{color}{color:#201f1e}{color}"
IT-59906,euro-pool,Personal Computing Hardware,System Reclamation,Service Request,Now that the system install under ticket IT-58885 is complete. Please look up and identify the old system for recovery.
IT-59905,Okta-support-pool,OKTA,Okta account issue,Incident,Please validate this user [x0285425@ti.com|mailto:x0285425@ti.com] in OKTA. Not able to reset the user account password as it was suspended.
IT-59904,SFDC_CS,COS,COS Login,Incident,"Hi, 

Â  

I am facing issue with log in to support.cadence.com. 

Am getting below toolbox and I am unable to reset password also 

Â  

Kindly help ASAP. 

Â  

!image002.jpg|thumbnail! 

Â  

Â  

Regards, 

Vishwateja S 

Â "
IT-59900,Hosting-Security,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: haNoHeartbeats
CI: noida-testlb01.cadence.com 

Alert: haBadSecState DOWN
CI: noida-testlb02.cadence.com "
IT-59899,asiapac-pool,UNIX,VNC/NX issues,Incident,"Hi Experts, 

Â  

I canâ€™t connect it anyway. 

Â  

Thanks, 

Rommel"
IT-59898,L2-Servicedesk,Hosting-VM,VM issue,Incident,"Hi,

My virtual machine on SJ network sj-eroussel is down. Please bring it back.

Regards
Eric
"
IT-59895,L2-Servicedesk,Hosting-VM,VM Provisioning,Service Request,"
Virtual Machine Request

ID: 375

Requester: sreeram

Owner: sreeram

Manager: mehra

Country: USA

VM Location: San Jose

VM Type: Virtual Desktop

Network: Regular

OS: RHEL 6.5


vCPU: 1

vMemory(GB): 4

vHDD(GB): 50

Environment: User VM

Duration: >12 Months

Replacement: Yes - Existing Server: sj-sreeram

Justification/Notes:

Renewing my non-DPC Unix VM


"
IT-59893,asiapac-pool,Windows - Infrastructure Services,Cert EP  Server Unavailable (Down),Incident,start up the CPG PV testing machine which is the windows 10 pro .
IT-59892,asiapac-pool,UNIX,VNC/NX issues,Incident,"Hi, Team 

I cannot connect to my VNC session on sj network, the host is sj-yikewang:1 

Please help. 

Â  

Thanks 

Yike"
IT-59887,Hosting-Americas-Datacenter,Datacenter Services,Host Down,Incident,"Alert: Unable to ping  sj-bwkvm15 server

Desc: unable to ping the server :- sj-bwkvm15Source: SiteScope\kvm\sj-bwkvm15\sj-bwkvm15-Ping

CI: sj-bwkvm15-Ping

C:\Users\psantosh>ping sj-bwkvm15

Pinging sj-bwkvm15.cadence.com [172.20.184.15] with 32 bytes of data:
Request timed out.
Request timed out.
Request timed out.
Request timed out.

Ping statistics for 172.20.184.15:
    Packets: Sent = 4, Received = 0, Lost = 4 (100% loss),"
IT-59886,asiapac-pool,UNIX,Unix OS Performance issues,Incident,can not open a terminal in sj-moose.
IT-59884,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm139, Service: AutoMounter Processes, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-59881,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm139, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-59878,pool-web-cadence.com,cadence.com,Cadence.com,Incident,"|Registration Help Request | 
|Incident - www.cadence.com - Assign the ticket to DL : pool-web-cadence.com | 
|First Name: |Avi | 
|Last Name: |Valent | 
|Email: |avalent@marvell.com | 
|Account Type: |Existing Account | 
|Help Category: |Account Locked | 
|Help Request: |Hi, My account is lock because I forgot my password and tried several times. Please unlock it. Thanks, Avi | 
|Browser Type: |Google Chrome | 
|Email For Account: |avalent@marvell.com | 
|Screen Name: |-N/A- | 
 Terms of service accepted: Yes 

 Terms of service accepted timestamp: 01/13/2020 02:35:39"
IT-59876,DW-pool,Monitoring,IT Monitoring- Monitoring incident,Incident,"Alert: Memory  breached the threshold with 
physical memory used %: 98% 

Desc: Memory of vlsj-birstprod.cadence.com has reached upto 
physical memory used %: 98%  The current threshold is physical memory used % > 95Source:   SiteScope\Birst\vlsj-birstprod.cadence.com\vlsj-birstprod.cadence.com-Memory

CI: vlsj-birstprod.cadence.com-Memory"
IT-59875,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
feqos10760, Service: Vormetric, State: CRITICAL, DETAILS: CRITICAL: Please check vormetric Host settings. Vormetric daemons are running., Service: Vormetric"
IT-59873,L2-Servicedesk,Hosting-VM,VM Configuration,Service Request,"Customer requested to create VM-Â ri-sanketh in RI.

It is urgent customer need to run the design."
IT-59869,Israel-pool,Personal Computing Accessories,AC Adapter Request,Service Request,The existing one was torn.
IT-59868,asiapac-pool,Outlook,Outlook on Mobile,Service Request,install email in my ipad
IT-59866,asiapac-pool,OKTA,Reset MFA,Incident,"Â  

Â  

Â   

Â  

Â  

Â  

Â  

Thanks, 

Twinkle. 

Â "
IT-59865,sapsecur-pool,SAP,SAP Application,Service Request,"Hello IBM Basis team,

Please move the below transport from DV2 to PF3.
DV2K911782 GOENKAV OSS Note:SAP-2457 for Malaysia GST report OSS notes
I've released the request in DV2 system.


Thanks & Regards,
Vishal Goenka
+919836306260


-----Original Message-----
From: sap_transport@cadence.com <sap_transport@cadence.com>
Sent: Monday, January 13, 2020 1:16 PM
To: sap_basis <sap_basis@cadence.com>
Cc: Vishal Goenka [C] <goenkav@cadence.com>
Subject: SAP Transport Request Submitted

This message was automatically generated from the ""SAP Transport Site"".

User Login: GOENKAV
User Name: Vishal Goenka [C]
Submit Date: 1/12/2020 11:46 PM


Request #: DV2K911782
Requester: GOENKAV
System: FILO
Priority: Regular
Audit: No
ASR: SAP-2457
Source Client: 320
Short Description: OSS Note:SAP-2457 for Malaysia GST report OSS notes Detailed Description: OSS Note:SAP-2457 for Malaysia GST report OSS notes.


ASR Information:
Issue Summary: New cadence entity for Malaysia Penang cc563 Assignee Displayname: Ian Procter Assignee Name: ianp Status Name: Dev Status Description:"
IT-59863,asiapac-pool,UNIX,VNC/NX issues,Incident,unable connect my non-dpc vm
IT-59858,coupa-pool,Coupa,Coupa Integration,Incident,"

There is a problem posting the Invoice Void ID : 141752 ; Invoice Number : 08001974 to SAP
SAP Error Exception : Document already reversed with document 100391138 (fiscal year 2020); "
IT-59857,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,"Hi Team,
 
 Please provide me a home in SJ. 

Â  

Thanks,
 Aman Singhal"
IT-59855,coupa-pool,Coupa,Coupa Integration,Incident,"

There is a problem posting the Invoice Void ID : 141752 ; Invoice Number : 08001974 to SAP
SAP Error Exception : Invoice document 100387903 2020 does not exist; "
IT-59854,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,"Hi team ,  

Â  

Please provide me a home in sj . 

Â  

Regards,  

Aayushi  

Â "
IT-59853,India-pool,Personal Computing Accessories,Keyboard/Mouse Request,Service Request,replace my mouse. it not working properly
IT-59852,asiapac-pool,Personal Computing Software,Software Issues,Incident,can not connect to ONE-CADENCE
IT-59851,ccms-pool,CCMS,CCMS Roles,Service Request,"{color:#000000}Dear Experts,{color} {color:#000000}{color} 
  
{color:#000000} Could you help me check why I cannot login to CCMS?{color} {color:#000000}{color} 
  
{color:#000000} Thanks,{color} 
{color:#000000} Steven{color}"
IT-59850,India-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Sushant Pathak
Title:-			Design Engineer II
Manager:-		Sarath Kumar Jha
Employee_Number:-	313452
Employee login:-	pathak
Location:-		NOIDA 03"
IT-59849,India-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Manisha Pradhan
Title:-			Lead Design Engineer
Manager:-		Sarath Kumar Jha
Employee_Number:-	313451
Employee login:-	manishap
Location:-		NOIDA 03"
IT-59848,India-pool,New Hire Legal,Laptop Release,Service Request,"
Please find details to release the laptop for this new hire.
	
			N E W  H I R E  R E P O R T
			===========================
	
EMPLOYEE INFORMATION
---------------------------------------------
Name:-			Varsha Singh
Title:-			Sr Application Engineer
Manager:-		Charudhattan Nagarajan
Employee_Number:-	313609
Employee login:-	svarsha
Location:-		BANGALORE 05"
IT-59845,Hosting-Backup,Hosting-Backup,Backup Configuration,Service Request,"Hi IT, 

Â  

Please help to check if the following directories are in backup,Â  if they are not backup,Â  pls add them into backup list (they need daily backup) 

Â  

/vols/mmsimP4_t1b_001/ws 

/vols/mmsimP4_t1b_002/ws 

/vols/mmsimP4_t1b_003/ws 

/vols/mmsimP4_t1b_004/ws 

/vols/mmsimP4_t1b_005/ws 

/vols/mmsimP4_t1b_006/ws 

/vols/mmsimP4_t1b_007/ws 

/vols/mmsimP4_t1b_008/ws 

Â  

Thanks, 

Fengpeng 

Â  

Â  

Â  

Â  

Â  

Â "
IT-59844,Hosting-IAPJ-Datacenter,Hosting-Storage,Storage- Increase Qtree quota,Service Request,"Â  

ten-pmac ~$ pwd 

/home/pmac 

Â  

ten-pmac ~$ df -h . 

FilesystemÂ Â Â Â Â Â Â Â Â Â Â  SizeÂ  Used Avail Use% Mounted on 

sjsnap24a:/home/gui/pmac 

Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  145GÂ  145GÂ  586M 100% /home/pmac 

Â  

Â  

Please increase by 50G 

Â  

Thanks 

Â  

Ciao, 

Â  

PMac 

Â "
IT-59843,Hosting-Backup,Hosting-Backup,Backup Configuration,Service Request,"Hi IT 

Â  

Please help to backup /vols/sim_02,Â Â  it need daily backup 

Â  

Thanks, 

Fengpeng 

Â "
IT-59840,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,"Â  

Â  

Thanks and Regards, 

Binod Sen 

Â "
IT-59839,asiapac-pool,One-Drive,One-Drive Outage,Incident,"Hi Xinghui, 

Â  

Highly appreciate your great support, help me to fix Onedrive share and Jabber voice issue, Thank you very much. 

Â  

{color:black}Thanks,{color} 

{color:black}Vida Liu{color} 

Â "
IT-59837,L2-Servicedesk,Hosting-VM,VM Configuration,Service Request,"Greetings!!! 

Â  

Dear IT Support, 

Â  

Currently I am working with the JIRA issue COSII-9180, COSII-9449 and COSII-8893. All the issue is related with session logout. I need to test what are the behavour changing after inactive session for 8 hours. Thatâ€™s why I would like to get access with one or two VM Â urgently. 

Â  

Â  

Â  

Thanks & Regards, 

Som. 

Â  

Somenath Roy. 

( Senior Engineer ) 

Â  

Â "
IT-59833,India-pool,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
blrbm134, Service: LSF Status, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually"
IT-59830,VCAD-Pool,VCAD,VCAD-Cloud-tools-install,Service Request,"Hi Michael,

Could you please provide access to Tribench for Jimmy Xu (""xuji"") ?
Probably a VCADEU access and homedir will also be needed.

Thank you in advance,
marios"
IT-59829,asiapac-pool,Personal Computing Software,Software Issues,Incident,"Please help config Exceed onDemand Client 

Â  

Thanks"
IT-59826,L2-Servicedesk,DPC,DPC Batch job / scheduler issues,Incident,Not able to submit jobs in LSF
IT-59819,L2-Servicedesk,ServerFarm,ServerFarm-Server Monitoring Alerts,Incident,"
sjdpc-wfopbsm02, Service: SSH, State: CRITICAL, DETAILS: : System is Unresponsive so Nagios is unable to run the check , please check the system manually, Service: SSH"
IT-59818,Server-farm,DPC,DPC - Manage Jobs,Service Request,"{color:#0432FF}Hi,{color}  

{color:#0432FF}Â {color} 

{color:#0432FF}Please help to push job{color} 

{color:#0432FF}JOBIDÂ Â  USERÂ Â Â  STATÂ  QUEUEÂ Â Â Â Â  FROM_HOSTÂ Â  EXEC_HOSTÂ Â  JOB_NAMEÂ Â  SUBMIT_TIME{color} 

{color:#0432FF}1260261 minghon PENDÂ  vormetricÂ  sjdpc-minghÂ Â Â Â Â Â Â Â Â Â Â Â  *-bg black Jan 12 23:02{color} 

{color:#0432FF}Â {color} 

{color:#0432FF}Thank you.{color} 

{color:#0432FF}Â {color} 

{color:#0432FF}Regards,{color} 

{color:#0432FF}Radom{color}"
IT-59817,L2-Servicedesk,UNIX,VNC/NX issues,Incident,"Hi Experts, 

Â  

NX non-DPC machine canâ€™t login on. 

Would you please help to fix it? 

Â  

Thanks 

Yanhong"
IT-59816,coupa-pool,Coupa,Coupa Integration,Incident,"
There is a problem posting the GR 882101  to SAP
SAP Error Exception :  User VIVEKBN already processing Purchasing doc. item 490123278 00001;"
IT-59813,L2-Servicedesk,Hosting-Storage,Storage- Create Home directory,Service Request,Need home directory in endicott
IT-59801,L2-Servicedesk,Hosting-VM,VM issue,Incident,"Hi,
I am getting the following error. Please help resolve.
Thanks!
Rachna
"
